0.005,124.4
0.01,71.8
0.015,67.6
0.02,66.9
0.025,67.9
0.03,68.4
0.035,68.7
0.04,68.6
0.045,67.4
0.05,68.4
0.055,67.2
0.06,112.2
0.065,107.9
0.07,107.7
0.075,107.1
0.08,107.8
0.085,110.2
0.09,107.3
0.095,108.1
0.1,108.0
0.105,107.7
0.11,67.6
0.115,67.4
0.12,67.3
0.125,69.7
0.13,68.8
0.135,109.7
0.14,108.4
0.145,107.4
0.15,107.0
0.155,107.7
0.16,52.0
0.165,50.8
0.17,50.7
0.175,69.2
0.18,69.9
0.185,108.7
0.19,108.7
0.195,109.8
0.2,107.4
0.205,108.1
0.21,46.3
0.215,46.8
0.22,51.5
0.225,68.6
0.23,67.8
0.235,108.3
0.24,108.5
0.245,107.8
0.25,107.1
0.255,106.6
0.26,44.5
0.265,46.9
0.27,51.8
0.275,71.6
0.28,71.3
0.285,107.1
0.29,107.5
0.295,107.0
0.3,107.6
0.305,107.5
0.31,44.0
0.315,45.8
0.32,50.3
0.325,68.5
0.33,68.1
0.335,108.7
0.34,107.0
0.345,111.0
0.35,107.5
0.355,106.9
0.36,44.9
0.365,45.7
0.37,50.9
0.375,67.8
0.38,67.9
0.385,109.3
0.39,106.9
0.395,106.1
0.4,106.3
0.405,106.6
0.41,44.6
0.415,43.5
0.42,48.9
0.425,66.7
0.43,66.8
0.435,114.7
0.44,106.5
0.445,106.7
0.45,107.7
0.455,106.6
0.46,42.8
0.465,43.4
0.47,49.7
0.475,67.6
0.48,67.0
0.485,106.2
0.49,106.5
0.495,106.3
0.5,106.8
0.505,106.4
0.51,42.7
0.515,44.2
0.52,50.0
0.525,67.3
0.53,67.9
0.535,107.5
0.54,108.9
0.545,107.3
0.55,106.4
0.555,106.7
0.56,42.6
0.565,43.9
0.57,48.8
0.575,67.1
0.58,67.0
0.585,107.8
0.59,110.4
0.595,113.2
0.6,113.1
0.605,110.8
